Tanggal dan Waktu,Temperature,Deskripsi
24 Nov 2024 - 15:00,24.86°C,hujan sedang
24 Nov 2024 - 18:00,24.42°C,hujan sedang
24 Nov 2024 - 21:00,23.27°C,hujan sedang
25 Nov 2024 - 00:00,23.4°C,hujan rintik-rintik
25 Nov 2024 - 03:00,25.76°C,awan mendung
25 Nov 2024 - 06:00,31.85°C,awan mendung
25 Nov 2024 - 09:00,28.74°C,hujan rintik-rintik
25 Nov 2024 - 12:00,25.22°C,hujan sedang
25 Nov 2024 - 15:00,24.35°C,hujan sedang
25 Nov 2024 - 18:00,24.04°C,hujan rintik-rintik
25 Nov 2024 - 21:00,23.7°C,hujan rintik-rintik
26 Nov 2024 - 00:00,25.53°C,hujan rintik-rintik
